adm0_name,adm1_id,adm1_name,date,cum_confirmed_cases,cum_confirmed_cases_original,cum_confirmed_cases_imputed,population,cum_hospitalized,event_cancel,event_cancel_popwt,home_isolation,home_isolation_popwt,no_gathering_popwt,no_gathering_inside,no_gathering_inside_popwt,social_distance,social_distance_popwt,social_distance_opt,business_closure,no_gathering,testing_regime,no_gathering_size,school_closure,school_closure_popwt
FRA,11,IledeFrance,2020-02-15,5,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-16,6,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-17,7,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-18,7,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-19,9,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-20,10,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-21,11,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-22,13,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-23,15,5,5,12278210,,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-24,17,5,5,12278210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-25,19,6,6,12278210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-26,22,6,6,12278210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-27,25,9,9,12278210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-28,29,9,9,12278210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99999,0,0
FRA,11,IledeFrance,2020-02-29,33,,14,12278210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-01,38,,20,12278210,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-02,43,34,34,12278210,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-03,50,37,37,12278210,12,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-04,57,55,55,12278210,23,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-05,65,76,76,12278210,37,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,0,0
FRA,11,IledeFrance,2020-03-06,75,89,89,12278210,59,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.1360254
FRA,11,IledeFrance,2020-03-07,85,104,104,12278210,76,0,0,0,0,0,0,0,0,0,0,0,1,0,5000,1,.2376978
FRA,11,IledeFrance,2020-03-08,98,243,243,12278210,95,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.3451565
FRA,11,IledeFrance,2020-03-09,112,300,300,12278210,143,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.638106
FRA,11,IledeFrance,2020-03-10,128,334,334,12278210,195,0,0,0,0,0,0,0,0,0,0,0,1,0,1000,1,.638106
FRA,11,IledeFrance,2020-03-11,147,492,492,12278210,250,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.638106
FRA,11,IledeFrance,2020-03-12,168,577,577,12278210,338,0,0,0,0,0,0,0,.5,.5,0,0,1,0,1000,1,.638106
FRA,11,IledeFrance,2020-03-13,192,721,721,12278210,439,0,0,0,0,0,0,0,1,.6464747712,0,0,1,0,100,1,.638106
FRA,11,IledeFrance,2020-03-14,220,949,949,12278210,526,0,0,0,0,0,0,0,1,.6464747712,0,0,1,0,100,1,.638106
FRA,11,IledeFrance,2020-03-15,252,1209,1209,12278210,628,0,0,0,0,0,0,0,1,.6464747712,0,1,1,1,100,1,.638106
FRA,11,IledeFrance,2020-03-16,288,1762,1762,12278210,762,0,0,0,0,0,0,0,1,.6464747712,0,1,1,1,100,1,1
FRA,11,IledeFrance,2020-03-17,330,2177,2177,12278210,942,1,1,.33000001,.3300000131,0,1,1,1,1,0,1,1,1,2,1,1
FRA,11,IledeFrance,2020-03-18,378,2693,2693,12278210,1124,1,1,.33000001,.3300000131,0,1,1,1,1,0,1,1,1,2,1,1
FRA,11,IledeFrance,2020-03-19,432,3384,3384,12278210,1395,1,1,.33000001,.3300000131,0,1,1,1,1,0,1,1,1,2,1,1
FRA,11,IledeFrance,2020-03-20,495,3818,3818,12278210,1696,1,1,.33000001,.3300000131,0,1,1,1,1,0,1,1,1,2,1,1
