date,adm0_name,adm1_name,school_closure,travel_ban_local_opt,no_gathering,travel_ban_intl_out,work_from_home,testing_regime,home_isolation,religious_closure,cum_confirmed_cases,cum_confirmed_cases_original,cum_confirmed_cases_imputed,population
2020-02-19,IRN,Alborz,0,0,0,0,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-20,IRN,Alborz,0,0,0,0,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-21,IRN,Alborz,0,0,0,0,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-22,IRN,Alborz,0,0,1,0,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-23,IRN,Alborz,1,0,1,0,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-24,IRN,Alborz,1,0,1,1,0,0,0,0,0.0,0.0,0,2712400.0
2020-02-25,IRN,Alborz,1,0,1,1,0,0,0,0,2,2.0,2,2712400.0
2020-02-26,IRN,Alborz,1,0,1,1,0,0,0,0,4,2.0,2,2712400.0
2020-02-27,IRN,Alborz,1,0,1,1,0,0,0,0,7,5.0,5,2712400.0
2020-02-28,IRN,Alborz,1,0,1,1,0,0,0,0,11,8.0,8,2712400.0
2020-02-29,IRN,Alborz,1,0,1,1,0,0,0,0,15,16.0,16,2712400.0
2020-03-01,IRN,Alborz,1,1,1,1,0,0,0,0,19,47.0,47,2712400.0
2020-03-02,IRN,Alborz,1,1,1,1,0,0,0,0,25,,89,2712400.0
2020-03-03,IRN,Alborz,1,1,1,1,1,0,0,0,32,,156,2712400.0
2020-03-04,IRN,Alborz,1,1,1,1,1,0,0,0,40,66.0,175,2712400.0
2020-03-05,IRN,Alborz,1,1,1,1,1,0,0,0,49,127.0,236,2712400.0
2020-03-06,IRN,Alborz,1,1,1,1,1,0,0,0,61,256.0,365,2712400.0
2020-03-07,IRN,Alborz,1,1,1,1,1,0,0,0,74,259.0,368,2712400.0
2020-03-08,IRN,Alborz,1,1,1,1,1,0,0,0,90,261.0,370,2712400.0
2020-03-09,IRN,Alborz,1,1,1,1,1,0,0,0,109,261.0,370,2712400.0
2020-03-10,IRN,Alborz,1,1,1,1,1,0,0,0,132,293.0,402,2712400.0
2020-03-11,IRN,Alborz,1,1,1,1,1,0,0,0,159,338.0,447,2712400.0
2020-03-12,IRN,Alborz,1,1,1,1,1,0,0,0,191,412.0,521,2712400.0
2020-03-13,IRN,Alborz,1,1,1,1,1,1,1,0,229,418.0,527,2712400.0
2020-03-14,IRN,Alborz,1,1,1,1,1,1,1,0,274,552.0,661,2712400.0
2020-03-15,IRN,Alborz,1,1,1,1,1,1,1,0,328,619.0,728,2712400.0
2020-03-16,IRN,Alborz,1,1,1,1,1,1,1,0,393,668.0,777,2712400.0
2020-03-17,IRN,Alborz,1,1,1,1,1,1,1,0,469,784.0,893,2712400.0
2020-03-18,IRN,Alborz,1,1,1,1,1,1,1,0,560,860.0,969,2712400.0
2020-03-19,IRN,Alborz,1,1,1,1,1,1,1,0,668,921.0,1030,2712400.0
2020-03-20,IRN,Alborz,1,1,1,1,1,1,1,0,796,1016.0,1125,2712400.0
2020-03-21,IRN,Alborz,1,1,1,1,1,1,1,0,949,1071.0,1180,2712400.0
2020-03-22,IRN,Alborz,1,1,1,1,1,1,1,0,1131,1131.0,1240,2712400.0
2020-02-19,IRN,Ardebil,0,0,0,0,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-20,IRN,Ardebil,0,0,0,0,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-21,IRN,Ardebil,0,0,0,0,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-22,IRN,Ardebil,0,0,1,0,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-23,IRN,Ardebil,1,0,1,0,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-24,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-25,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-26,IRN,Ardebil,1,0,1,1,0,0,0,0,0.0,0.0,0,1270420.0
2020-02-27,IRN,Ardebil,1,0,1,1,0,0,0,0,5,5.0,5,1270420.0
2020-02-28,IRN,Ardebil,1,0,1,1,0,0,0,0,10,6.0,6,1270420.0
2020-02-29,IRN,Ardebil,1,0,1,1,0,0,0,0,16,9.0,9,1270420.0
2020-03-01,IRN,Ardebil,1,1,1,1,0,0,0,0,22,9.0,9,1270420.0
2020-03-02,IRN,Ardebil,1,1,1,1,0,0,0,0,28,,9,1270420.0
2020-03-03,IRN,Ardebil,1,1,1,1,1,0,0,0,35,,9,1270420.0
2020-03-04,IRN,Ardebil,1,1,1,1,1,0,0,0,42,9.0,9,1270420.0
2020-03-05,IRN,Ardebil,1,1,1,1,1,0,0,0,50,26.0,26,1270420.0
2020-03-06,IRN,Ardebil,1,1,1,1,1,0,0,0,58,37.0,37,1270420.0
2020-03-07,IRN,Ardebil,1,1,1,1,1,0,0,0,67,38.0,38,1270420.0
2020-03-08,IRN,Ardebil,1,1,1,1,1,0,0,0,76,47.0,47,1270420.0
2020-03-09,IRN,Ardebil,1,1,1,1,1,0,0,0,86,69.0,69,1270420.0
2020-03-10,IRN,Ardebil,1,1,1,1,1,0,0,0,96,88.0,88,1270420.0
2020-03-11,IRN,Ardebil,1,1,1,1,1,0,0,0,107,89.0,89,1270420.0
2020-03-12,IRN,Ardebil,1,1,1,1,1,0,0,0,119,103.0,103,1270420.0
2020-03-13,IRN,Ardebil,1,1,1,1,1,1,1,0,132,118.0,118,1270420.0
2020-03-14,IRN,Ardebil,1,1,1,1,1,1,1,0,145,151.0,151,1270420.0
2020-03-15,IRN,Ardebil,1,1,1,1,1,1,1,0,159,151.0,151,1270420.0
2020-03-16,IRN,Ardebil,1,1,1,1,1,1,1,0,174,181.0,181,1270420.0
2020-03-17,IRN,Ardebil,1,1,1,1,1,1,1,0,190,200.0,200,1270420.0
2020-03-18,IRN,Ardebil,1,1,1,1,1,1,1,0,207,210.0,210,1270420.0
2020-03-19,IRN,Ardebil,1,1,1,1,1,1,1,0,225,226.0,226,1270420.0
2020-03-20,IRN,Ardebil,1,1,1,1,1,1,1,0,244,261.0,261,1270420.0
2020-03-21,IRN,Ardebil,1,1,1,1,1,1,1,0,264,267.0,267,1270420.0
2020-03-22,IRN,Ardebil,1,1,1,1,1,1,1,0,286,286.0,286,1270420.0
2020-02-19,IRN,Bushehr,0,0,0,0,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-20,IRN,Bushehr,0,0,0,0,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-21,IRN,Bushehr,0,0,0,0,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-22,IRN,Bushehr,0,0,1,0,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-23,IRN,Bushehr,0,0,1,0,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-24,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-25,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-26,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-27,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-28,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-02-29,IRN,Bushehr,0,0,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-03-01,IRN,Bushehr,0,1,1,1,0,0,0,0,0.0,0.0,0,1163400.0
2020-03-02,IRN,Bushehr,0,1,1,1,0,0,0,0,,,0,1163400.0
2020-03-03,IRN,Bushehr,0,1,1,1,1,0,0,0,,,0,1163400.0
2020-03-04,IRN,Bushehr,0,1,1,1,1,0,0,0,0.0,0.0,0,1163400.0
2020-03-05,IRN,Bushehr,1,1,1,1,1,0,0,0,3,3.0,3,1163400.0
2020-03-06,IRN,Bushehr,1,1,1,1,1,0,0,0,6,5.0,5,1163400.0
2020-03-07,IRN,Bushehr,1,1,1,1,1,0,0,0,9,8.0,8,1163400.0
2020-03-08,IRN,Bushehr,1,1,1,1,1,0,0,0,12,10.0,10,1163400.0
2020-03-09,IRN,Bushehr,1,1,1,1,1,0,0,0,15,11.0,11,1163400.0
2020-03-10,IRN,Bushehr,1,1,1,1,1,0,0,0,18,18.0,18,1163400.0
2020-03-11,IRN,Bushehr,1,1,1,1,1,0,0,0,21,18.0,18,1163400.0
2020-03-12,IRN,Bushehr,1,1,1,1,1,0,0,0,24,21.0,21,1163400.0
2020-03-13,IRN,Bushehr,1,1,1,1,1,1,1,0,27,21.0,21,1163400.0
2020-03-14,IRN,Bushehr,1,1,1,1,1,1,1,0,30,28.0,28,1163400.0
2020-03-15,IRN,Bushehr,1,1,1,1,1,1,1,0,33,34.0,34,1163400.0
2020-03-16,IRN,Bushehr,1,1,1,1,1,1,1,0,36,38.0,38,1163400.0
2020-03-17,IRN,Bushehr,1,1,1,1,1,1,1,0,40,42.0,42,1163400.0
2020-03-18,IRN,Bushehr,1,1,1,1,1,1,1,0,43,46.0,46,1163400.0
2020-03-19,IRN,Bushehr,1,1,1,1,1,1,1,0,46,54.0,54,1163400.0
2020-03-20,IRN,Bushehr,1,1,1,1,1,1,1,0,49,55.0,55,1163400.0
2020-03-21,IRN,Bushehr,1,1,1,1,1,1,1,0,52,55.0,55,1163400.0
