date,adm1_name,adm0_name,cum_confirmed_cases,cum_confirmed_cases_original,cum_deaths,cum_recoveries,active_cases,lat,lon,active_cases_new,population,business_closure_opt,emergency_declaration,event_cancel,no_demonstration,no_gathering_opt,pos_cases_quarantine,religious_closure,school_closure,social_distance_opt,testing_regime,travel_ban_intl_in_opt,travel_ban_intl_out_opt,welfare_services_closure,work_from_home_opt,travel_ban_intl_in_opt_country_list,travel_ban_intl_out_opt_country_list,policies_enacted
2020-01-20,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-21,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-22,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-23,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-24,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-25,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-26,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-27,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0
2020-01-28,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-29,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-30,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-01-31,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-01,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-02,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-03,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,1,1,0,0,0,"""[""China""]""",NA,1
2020-02-04,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-05,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-06,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,2,1,0,0,0,"""[""China""]""",NA,1
2020-02-07,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,0,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,1
2020-02-08,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,1,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,2
2020-02-09,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,1,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,2
2020-02-10,Busan,KOR,0,0,0,0,0,35.202,129.081,0,3410925,0,0,1,0,0,0,0,0,0,3,1,0,0,0,"""[""China""]""",NA,2
