adm0_name,adm1_name,adm2_name,date,cum_confirmed_cases,cum_confirmed_cases_original,cum_deaths,cum_recoveries,travel_ban_local,emergency_declaration,home_isolation,testing_regime,cum_confirmed_cases_imputed,cum_deaths_imputed,cum_recoveries_imputed,adm2_id,population,pop_is_imputed,active_cases,active_cases_imputed,lat,lon
CHN,Anhui,Anqing,2020-01-10,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-11,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-12,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-13,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-14,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-15,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-16,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-17,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-18,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-19,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-20,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-21,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-22,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-23,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,6158800,0,0.0,0,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-24,1,1.0,0.0,0.0,0,1,0,1,1,0,0,0,6158800,0,1.0,1,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-25,1,4.0,0.0,0.0,0,1,0,1,4,0,0,0,6158800,0,4.0,4,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-26,1,5.0,0.0,0.0,0,1,0,1,5,0,0,0,6158800,0,5.0,5,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-27,1,8.0,0.0,0.0,1,1,0,1,8,0,0,0,6158800,0,8.0,8,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-28,1,8.0,0.0,0.0,1,1,0,2,8,0,0,0,6158800,0,8.0,8,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-29,1,14.0,0.0,0.0,1,1,0,2,14,0,0,0,6158800,0,14.0,14,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-30,1,18.0,0.0,0.0,1,1,0,2,18,0,0,0,6158800,0,18.0,18,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-01-31,1,18.0,0.0,0.0,1,1,0,2,18,0,0,0,6158800,0,18.0,18,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-01,1,31.0,0.0,0.0,1,1,0,2,31,0,0,0,6158800,0,31.0,31,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-02,1,43.0,0.0,0.0,1,1,0,2,43,0,0,0,6158800,0,43.0,43,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-03,1,47.0,0.0,0.0,1,1,0,2,47,0,0,0,6158800,0,47.0,47,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-04,1,55.0,0.0,3.0,1,1,0,2,55,0,3,0,6158800,0,52.0,52,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-05,1,56.0,0.0,3.0,1,1,0,2,56,0,3,0,6158800,0,53.0,53,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-06,1,60.0,0.0,3.0,1,1,0,3,60,0,3,0,6158800,0,57.0,57,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-07,15,66.0,0.0,6.0,1,1,1,3,66,0,6,0,6158800,0,60.0,60,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-08,1,71.0,0.0,6.0,1,1,1,3,71,0,6,0,6158800,0,65.0,65,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-09,1,75.0,0.0,12.0,1,1,1,3,75,0,12,0,6158800,0,63.0,63,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-10,1,78.0,0.0,15.0,1,1,1,3,78,0,15,0,6158800,0,63.0,63,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-11,1,80.0,0.0,15.0,1,1,1,3,80,0,15,0,6158800,0,65.0,65,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-12,1,80.0,0.0,15.0,1,1,1,3,80,0,15,0,6158800,0,65.0,65,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-13,1,80.0,0.0,29.0,1,1,1,4,80,0,29,0,6158800,0,51.0,51,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-14,1,81.0,0.0,32.0,1,1,1,4,81,0,32,0,6158800,0,49.0,49,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-15,1,82.0,0.0,33.0,1,1,1,4,82,0,33,0,6158800,0,49.0,49,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-16,1,82.0,0.0,34.0,1,1,1,4,82,0,34,0,6158800,0,48.0,48,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-17,1,83.0,0.0,34.0,1,1,1,4,83,0,34,0,6158800,0,49.0,49,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-18,1,83.0,0.0,39.0,1,1,1,4,83,0,39,0,6158800,0,44.0,44,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-19,1,83.0,0.0,44.0,1,1,1,4,83,0,44,0,6158800,0,39.0,39,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-20,1,83.0,0.0,53.0,1,1,1,5,83,0,53,0,6158800,0,30.0,30,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-21,1,83.0,0.0,55.0,1,1,1,5,83,0,55,0,6158800,0,28.0,28,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-22,1,83.0,0.0,61.0,1,1,1,5,83,0,61,0,6158800,0,22.0,22,30.610753987856167,116.59447983014499
CHN,Anhui,Anqing,2020-02-23,1,83.0,0.0,65.0,1,1,1,5,83,0,65,0,6158800,0,18.0,18,30.610753987856167,116.59447983014499
